No.,Brand,Product,Category,Standard Size,Volume (L),Weight (kg),Est. Price (PHP),Availability
212,Hipic,400S Extra Catalyst QDS (Activator),Solvent / hardener,quart set,0.95,,250,Active
213,Hipic,HIPIC 200S MS Clear+Activator 1.5 LT,Solvent / hardener,1 L,1,,260,Active
214,Hipic,HIPIC 400S QDS+Activator LT,Solvent / hardener,1 L,1,,260,Active
215,Hippo,Hippo SP H#1000 Inactive,Inactive item,piece / assorted,,,,Inactive
216,Hippo,Hippo SP H#120 Inactive,Inactive item,piece / assorted,,,,Inactive
217,Hippo,Hippo SP H#1200 Inactive,Inactive item,piece / assorted,,,,Inactive
218,Hippo,Hippo SP H#36 Inactive,Inactive item,piece / assorted,,,,Inactive
219,Hotime,HSCD Hotime Steel Cutting Disk,Accessory / tool,piece / assorted,,,70,Active
220,Hudson,Hudson Two-Comp PB H PTC Top Coat w/ Cat GAL,Enamel / lacquer / primer,4 L / gal,4,,1700,Active
221,Hudson,Hudson Two-Comp PB H PTC Top Coat w/ Cat LT,Enamel / lacquer / primer,1 L,1,,420,Active
222,Hudson,Hudson Two-Comp PB H PUR Reducer GAL,Solvent / hardener,4 L / gal,4,,950,Active
223,Hudson,Hudson Two-Comp PB H PUR Reducer LT,Solvent / hardener,1 L,1,,260,Active
224,Hudson,Hudson Two-Comp PB H PUS Sealer w/ Cat GAL,Putty / filler / sealer,4 L / gal,4,,900,Active
225,Hudson,Hudson Two-Comp PB H PUS Sealer w/ Cat LT,Putty / filler / sealer,1 L,1,,220,Active
226,K92,K-333 Universal Clear Coat K92 LT,Enamel / lacquer / primer,1 L,1,,450,Active
227,Lucky,L-LTH-1 LUCKY Lacquer Thinner BTL,Solvent / hardener,350 mL bottle,0.35,,60,Active
228,Lucky,L-LTH-2 LUCKY Lacquer Thinner GAL,Solvent / hardener,4 L / gal,4,,580,Active
229,Lucky,L-PTH-1 LUCKY Paint Thinner BTL,Solvent / hardener,350 mL bottle,0.35,,60,Active
230,Lucky,L-PTH-2 LUCKY Paint Thinner GAL,Solvent / hardener,4 L / gal,4,,580,Active
231,Menzerna,PG-1000 Menzerna Rubbing Compound 50ml,Paint / assorted,50 mL,0.05,,10,Active
232,Nippon,Nippon EP White,Paint / assorted,piece / assorted,,,250,Active
233,Nippon,Nippon Nax Extreme PU Varnish GAL,Enamel / lacquer / primer,4 L / gal,4,,950,Active
234,Oasis,OCB Oasis Cutting Disk,Accessory / tool,piece / assorted,,,70,Active
235,Omega,MES50100 Omega Mesh Tape,Accessory / tool,piece / assorted,,,100,Active
236,Omega,MT-12 Omega Masking Tape 1/2,Accessory / tool,piece / assorted,,,25,Active
237,Omega,MT-18 Omega Masking Tape 3/4,Accessory / tool,piece / assorted,,,35,Active
238,Omega,MT-24 Omega Masking Tape 1 in,Accessory / tool,piece / assorted,,,50,Active
239,Omega,MT-48 Omega Masking Tape 2 in,Accessory / tool,piece / assorted,,,95,Active
240,Omega,OFS-80 Omega Floor Sanding 100 Grit 12x45,Accessory / tool,piece / assorted,,,15,Active
241,Omega,OFS-80 Omega Floor Sanding 80 Grit 12x45,Accessory / tool,piece / assorted,,,15,Active
242,Omega,Omega Extension Pole Aluminum 2m,Accessory / tool,piece / assorted,,,100,Active
243,Omega,Omega Extension Pole Aluminum 3m,Accessory / tool,piece / assorted,,,100,Active
244,Omega,Omega Paint Brush 1 in,Accessory / tool,piece / assorted,,,45,Active
245,Omega,Omega Paint Brush 1.5 in,Accessory / tool,piece / assorted,,,65,Active
246,Omega,Omega Paint Brush 1/2 in,Accessory / tool,piece / assorted,,,35,Active
247,Omega,Omega Paint Brush 2 in,Accessory / tool,piece / assorted,,,80,Active
248,Omega,Omega Paint Brush 2.5 in,Accessory / tool,piece / assorted,,,95,Active
249,Omega,Omega Paint Brush 3 in,Accessory / tool,piece / assorted,,,120,Active
250,Omega,Omega Paint Brush 3/4 in,Accessory / tool,piece / assorted,,,35,Active
251,Omega,Omega Paint Brush 4 in,Accessory / tool,piece / assorted,,,150,Active
252,Omega,Omega Paint Tray Black-Plastic,Accessory / tool,piece / assorted,,,100,Active
253,Omega,Omega Putty Knife Big,Putty / filler / sealer,piece / assorted,,,250,Active
254,Omega,Omega Putty Knife Small,Putty / filler / sealer,piece / assorted,,,250,Active
255,Omega,Omega Putty Knife w Handle 2 in,Putty / filler / sealer,piece / assorted,,,250,Active
256,Omega,Omega Putty Knife w Handle 4 in,Putty / filler / sealer,piece / assorted,,,250,Active
257,Omega,Omega Roller 4 Cotton FILLER,Putty / filler / sealer,piece / assorted,,,250,Active
258,Omega,Omega Roller 7 Cotton SET,Accessory / tool,piece / assorted,,,220,Active
259,Omega,Omega Roller 4 Cotton SET,Accessory / tool,piece / assorted,,,150,Active
260,Omega,Omega Roller 4 Foam FILLER,Putty / filler / sealer,piece / assorted,,,250,Active
261,Omega,Omega Roller 4 Foam SET,Accessory / tool,piece / assorted,,,150,Active
262,Omega,Omega Roller 4 Wool FILLER,Putty / filler / sealer,piece / assorted,,,250,Active
263,Omega,Omega Roller 4 Wool SET,Accessory / tool,piece / assorted,,,150,Active
264,Omega,Omega Roller 7 Cotton FILLER,Putty / filler / sealer,piece / assorted,,,250,Active
265,Omega,Omega SP #100,Accessory / tool,piece / assorted,,,15,Active
266,Omega,Omega SP #1000,Accessory / tool,piece / assorted,,,15,Active
267,Omega,Omega SP #120,Accessory / tool,piece / assorted,,,15,Active
268,Omega,Omega SP #1200,Accessory / tool,piece / assorted,,,15,Active
269,Omega,Omega SP #150,Accessory / tool,piece / assorted,,,15,Active
270,Omega,Omega SP #1500,Accessory / tool,piece / assorted,,,15,Active
271,Omega,Omega SP #180,Accessory / tool,piece / assorted,,,15,Active
272,Omega,Omega SP #2000,Accessory / tool,piece / assorted,,,15,Active
273,Omega,Omega SP #220,Accessory / tool,piece / assorted,,,15,Active
274,Omega,Omega SP #240,Accessory / tool,piece / assorted,,,15,Active
275,Omega,Omega SP #280,Accessory / tool,piece / assorted,,,15,Active
276,Omega,Omega SP #320,Accessory / tool,piece / assorted,,,15,Active
277,Omega,Omega SP #36,Accessory / tool,piece / assorted,,,15,Active
278,Omega,Omega SP #360,Accessory / tool,piece / assorted,,,15,Active
279,Omega,Omega SP #400,Accessory / tool,piece / assorted,,,15,Active
280,Omega,Omega SP #60,Accessory / tool,piece / assorted,,,15,Active
281,Omega,Omega SP #600,Accessory / tool,piece / assorted,,,15,Active
282,Omega,Omega SP #80,Accessory / tool,piece / assorted,,,15,Active
283,Omega,Omega SP #800,Accessory / tool,piece / assorted,,,15,Active
284,Ordinary,AB Artist Brush FLAT,Accessory / tool,piece / assorted,,,150,Active
285,Ordinary,AB Artist Brush ROUND,Accessory / tool,piece / assorted,,,150,Active
286,Ordinary,AB Brush Artist Brush Inactive,Inactive item,piece / assorted,,,,Inactive
287,Ordinary,BFP-1 Buffing Pad White,Accessory / tool,piece / assorted,,,100,Active
288,Ordinary,BFP-2 Buffing Pad Grey,Accessory / tool,piece / assorted,,,100,Active
289,Ordinary,BFP-3 Buffing Pad Red,Accessory / tool,piece / assorted,,,100,Active
290,Ordinary,BPK Ordinary Bluish Putty Knife,Putty / filler / sealer,piece / assorted,,,250,Active
291,Ordinary,Cement Waterproofing Compound,Exterior / waterproofing,piece / assorted,,,250,Active
292,Ordinary,Ordinary Skimcoat,Putty / filler / sealer,piece / assorted,,,250,Active
293,Ordinary,PSB Steel Brush Plastic,Accessory / tool,piece / assorted,,,150,Active
294,Ordinary,WSB Steel Brush Wooden,Accessory / tool,piece / assorted,,,150,Active
295,Pololock,Pololock Roller 4 Cotton FILLER,Putty / filler / sealer,piece / assorted,,,250,Active
296,Pololock,Pololock Roller 4 Cotton SET,Accessory / tool,piece / assorted,,,150,Active
297,Pololock,Pololock Roller 7 Cotton SET,Accessory / tool,piece / assorted,,,220,Active
298,Popular,Popular Semi Gloss Latex,Latex paint,piece / assorted,,,250,Active
299,Puree,PUREE Acrylic Thinner BTL,Solvent / hardener,350 mL bottle,0.35,,60,Active
300,Puree,PUREE Acrylic Thinner GAL,Solvent / hardener,4 L / gal,4,,580,Active
301,Puree,PUREE Concrete Neutralizer GAL,Exterior / waterproofing,4 L / gal,4,,850,Active
302,Puree,PUREE Concrete Neutralizer LT,Exterior / waterproofing,1 L,1,,210,Active
303,Puree,PUREE Lacquer Thinner BTL,Solvent / hardener,350 mL bottle,0.35,,60,Active
304,Puree,PUREE Lacquer Thinner GAL,Solvent / hardener,4 L / gal,4,,580,Active
305,Puree,PUREE Paint Thinner BTL,Solvent / hardener,350 mL bottle,0.35,,60,Active
306,Puree,PUREE Paint Thinner GAL,Solvent / hardener,4 L / gal,4,,580,Active
307,Stripsoll,SPS STRIPSOLL Paint Stripper BTL,Paint / assorted,350 mL bottle,0.35,,70,Active
308,Stripsoll,SPS STRIPSOLL Paint Stripper GAL,Paint / assorted,4 L / gal,4,,800,Active
309,Sumo,Sumo PV Natural BTL,Paint / assorted,350 mL bottle,0.35,,70,Active
310,TAP Customs,Additional Color,Paint / assorted,piece / assorted,,,250,Active
311,TKO,TK-ATH TKO Acrylic Thinner 350ml BTL,Solvent / hardener,50 mL,0.05,,10,Active
312,TKO,TKO Gloss Latex,Latex paint,piece / assorted,,,250,Active
313,Unicoat,UC Metal Primer Red Oxide GAL,Enamel / lacquer / primer,4 L / gal,4,,900,Active
314,Universal,Universal Plus Flat White,Paint / assorted,piece / assorted,,,250,Active
315,Weber,1130-AE Weber AE Gold Toner GAL,Tint / automotive color,4 L / gal,4,,2200,Active
316,Weber,1780-AE Weber AE Violet GAL,Tint / automotive color,4 L / gal,4,,2200,Active
317,Weber,5050-AE Weber AE Metallic Fine GAL,Tint / automotive color,4 L / gal,4,,2800,Active
318,Weber,A-3360 Anzhal Wash Primer LT,Enamel / lacquer / primer,1 L,1,,420,Active
319,Weber,A-3882 Anzhal Spray Filler Gray LT,Spray paint,1 L,1,,220,Active
320,Weber,DR-1 Durax International Red GAL,Tint / automotive color,4 L / gal,4,,2200,Active
321,Weber,DR-2 Durax Lemon Yellow GAL,Tint / automotive color,4 L / gal,4,,2200,Active
322,Weber,DR-3 Durax Pthalo Blue GAL,Tint / automotive color,4 L / gal,4,,2200,Active
323,Weber,DR-4 Durax Pthalo Green GAL,Tint / automotive color,4 L / gal,4,,2200,Active
324,Weber,DR-5 Durax Black GAL,Tint / automotive color,4 L / gal,4,,2200,Active
325,Weber,DR-6 Durax White GAL,Tint / automotive color,4 L / gal,4,,2200,Active
326,Weber,DR-7 Durax Chocolate Brown GAL,Tint / automotive color,4 L / gal,4,,2200,Active
327,Weber,DR-8 Durax Caterpillar Yellow GAL,Tint / automotive color,4 L / gal,4,,2200,Active
328,Weber,DR-9 Durax Bright Orange GAL,Tint / automotive color,4 L / gal,4,,2200,Active
329,Weber,E-5000 WB EE White GAL,Tint / automotive color,4 L / gal,4,,2200,Active
330,Weber,E-5100 WB EE Black GAL,Tint / automotive color,4 L / gal,4,,2200,Active
331,Weber,E-5300 WB EE Lemon Yellow GAL,Tint / automotive color,4 L / gal,4,,2200,Active
332,Weber,E-5400 WB EE Moly Orange GAL,Tint / automotive color,4 L / gal,4,,2200,Active
333,Weber,E-5500 WB EE Pthalo Blue GAL,Tint / automotive color,4 L / gal,4,,2200,Active
334,Weber,E-5600 WB EE Phthalo Green GAL,Tint / automotive color,4 L / gal,4,,2200,Active
335,Weber,E-5700 WB EE Bright Red GAL,Tint / automotive color,4 L / gal,4,,2200,Active
336,Weber,E-6000 WB EP White GAL,Tint / automotive color,4 L / gal,4,,2200,Active
337,Weber,E-6100 WB EP Black GAL,Tint / automotive color,4 L / gal,4,,2200,Active
338,Weber,E-6200 WB EP Gray GAL,Tint / automotive color,4 L / gal,4,,2200,Active
339,Weber,E-6300 WB EP Zinc Rich Yellow GAL,Tint / automotive color,4 L / gal,4,,2200,Active
340,Weber,E-6700 WB EP Red Oxide GAL,Tint / automotive color,4 L / gal,4,,2200,Active
341,Weber,FPU-500 Flat Black LT,Paint / assorted,1 L,1,,200,Active
342,Weber,Hi-Sparkle Mica White GAL,Tint / automotive color,4 L / gal,4,,2800,Active
343,Weber,K-111 K92 Clearcoat Matte,Enamel / lacquer / primer,piece / assorted,,,250,Active
344,Weber,K-222 Top Coat Rapid Cure K92 LT,Enamel / lacquer / primer,1 L,1,,450,Active
345,Weber,K-650 K92 Thinner GAL,Solvent / hardener,4 L / gal,4,,950,Active
346,Weber,K-650 K92 Thinner LT,Solvent / hardener,1 L,1,,260,Active
347,Weber,MICA PEARL SERIES WPU-903 Chromatone Mica Yellow 4L,Tint / automotive color,4 L,4,,2800,Active
348,Weber,MICA PEARL SERIES WPU-905 Chromatone Mica Blue 4L,Tint / automotive color,4 L,4,,2800,Active
349,Weber,MICA PEARL SERIES WPU-906 Chromatone Mica Green 4L,Tint / automotive color,4 L,4,,2800,Active
350,Weber,MICA PEARL SERIES WPU-907 Chromatone Mica Red 4L,Tint / automotive color,4 L,4,,2800,Active
351,Weber,MICA PEARL SERIES WPU-908 Chromatone Mica Violet 4L,Tint / automotive color,4 L,4,,2800,Active
352,Weber,MICA PEARL SERIES WPU-933 Hi-Sparkle Mica Copper 4L,Tint / automotive color,4 L,4,,2800,Active
353,Weber,MICA PEARL SERIES WPU-934 Hi-Sparkle Mica Bronze 4L,Tint / automotive color,4 L,4,,2800,Active
354,Weber,MICA PEARL SERIES WPU-935 Hi-Sparkle Mica Russet 4L,Tint / automotive color,4 L,4,,2800,Active
355,Weber,MICA PEARL SERIES WPU-951 Extra Fine White Pearl 4L,Tint / automotive color,4 L,4,,2800,Active
356,Weber,MICA PEARL SERIES WPU-952 Fine White Pearl 4L,Tint / automotive color,4 L,4,,2800,Active
357,Weber,Primo Coat Pthalo Blue GAL,Paint / assorted,4 L / gal,4,,800,Active
358,Weber,R-25 Acrylic Thinner BTL,Solvent / hardener,350 mL bottle,0.35,,90,Active
359,Weber,R-25 Acrylic Thinner GAL,Solvent / hardener,4 L / gal,4,,950,Active
360,Weber,R-25 Acrylic Thinner LT,Solvent / hardener,1 L,1,,260,Active
361,Weber,SP-1200 Weber Spray Hi-Temp Black,Spray paint,400 mL,0.4,,220,Active
362,Weber,SP-1300 Weber Spray Hi-Temp Silver,Spray paint,400 mL,0.4,,220,Active
363,Weber,SP-132 Weber Spray Metallic Brown,Spray paint,400 mL,0.4,,220,Active
364,Weber,SP-145 Weber Spray Primer Gray,Spray paint,400 mL,0.4,,220,Active
365,Weber,SP-190 Weber Spray Clear,Spray paint,400 mL,0.4,,220,Active
366,Weber,SP-36 Weber Spray Bright Silver,Spray paint,400 mL,0.4,,220,Active
367,Weber,SP-39 Weber Spray Black,Spray paint,400 mL,0.4,,220,Active
368,Weber,SP-4 Weber Spray Matte Black,Spray paint,400 mL,0.4,,220,Active
369,Weber,SP-40 Weber Spray White,Spray paint,400 mL,0.4,,220,Active
370,Weber,TINTING COLOR WPU-610 Transparent Green 4L,Tint / automotive color,4 L,4,,2200,Active
371,Weber,TINTING COLOR WPU-700 International Red 4L,Tint / automotive color,4 L,4,,2200,Active
372,Weber,TINTING COLOR WPU-710 Red Gold 4L,Tint / automotive color,4 L,4,,2200,Active
373,Weber,TINTING COLOR WPU-718 Deep Red 4L,Tint / automotive color,4 L,4,,2200,Active
374,Weber,TINTING COLOR WPU-728 Organic Red Toner 4L,Tint / automotive color,4 L,4,,2200,Active
375,Weber,TINTING COLOR WPU-730 Ferrari Red 4L,Tint / automotive color,4 L,4,,2200,Active
376,Weber,TINTING COLOR WPU-740 Bon Maroon 4L,Tint / automotive color,4 L,4,,2200,Active
377,Weber,TINTING COLOR WPU-760 Magenta 4L,Tint / automotive color,4 L,4,,2200,Active
378,Weber,TINTING COLOR WPU-780 Cinquasia Violet 4L,Tint / automotive color,4 L,4,,2200,Active
379,Weber,UP-100 Spray Filler Gray LT,Spray paint,1 L,1,,220,Active
380,Weber,UP-200 Spray Filler White LT,Spray paint,1 L,1,,220,Active
381,Weber,UP-400 Spray Filler Anti-corrosion LT,Spray paint,1 L,1,,220,Active
382,Weber,UPS-200 Ultra Primer Surfacer Light Gray LT,Enamel / lacquer / primer,1 L,1,,420,Active
383,Weber,UT-20 Urethane Thinner BTL,Solvent / hardener,350 mL bottle,0.35,,90,Active
384,Weber,UT-20 Urethane Thinner GAL,Solvent / hardener,4 L / gal,4,,950,Active
385,Weber,UT-20 Urethane Thinner LT,Solvent / hardener,1 L,1,,260,Active
386,Weber,WA-10 Extra Topcoat Catalyst 1/4L,Solvent / hardener,0.25 L,0.25,,70,Active
387,Weber,WPU-090 UT Mixing Clear,Tint / automotive color,piece / assorted,,,250,Active
388,Weber,WPU-100 Weber Bright White GAL,Tint / automotive color,4 L / gal,4,,2200,Active
389,Weber,WPU-200 Weber Jet Black GAL,Tint / automotive color,4 L / gal,4,,2200,Active
390,Weber,WPU-210 Weber Super Jet Black GAL,Tint / automotive color,4 L / gal,4,,2200,Active
391,Weber,WPU-300 Weber Organic Lemon Yellow GAL,Tint / automotive color,4 L / gal,4,,2200,Active
392,Weber,WPU-310 Weber Ferrite Yellow GAL,Tint / automotive color,4 L / gal,4,,2200,Active
393,Weber,WPU-315 Weber Organic Cool Yellow GAL,Tint / automotive color,4 L / gal,4,,2200,Active
394,Weber,WPU-320 Weber Yellow Toner (Yellow Gold) GAL,Tint / automotive color,4 L / gal,4,,2200,Active
395,Weber,WPU-330 Weber Verdant Yellow GAL,Tint / automotive color,4 L / gal,4,,2200,Active
396,Weber,WPU-430 Weber Organic Orange GAL,Tint / automotive color,4 L / gal,4,,2200,Active
397,Weber,WPU-500 Weber Cyanine Blue GAL,Tint / automotive color,4 L / gal,4,,2200,Active
398,Weber,WPU-510 Weber Transparent Blue GAL,Tint / automotive color,4 L / gal,4,,2200,Active
399,Weber,WPU-520 Weber Verdant Blue GAL,Tint / automotive color,4 L / gal,4,,2200,Active
400,Weber,WPU-525 Weber Bright Blue GAL,Tint / automotive color,4 L / gal,4,,2200,Active
401,Weber,WPU-530 Weber Blue GAL,Tint / automotive color,4 L / gal,4,,2200,Active
402,Weber,WPU-600 Weber Cyanine Green GAL,Tint / automotive color,4 L / gal,4,,2200,Active
403,Weber,WPU-750 UT Permanent Maroon GAL,Tint / automotive color,4 L / gal,4,,2200,Active
404,Weber,WPU-800 Metallic Fine Irid GAL,Tint / automotive color,4 L / gal,4,,2800,Active
405,Weber,WPU-8051 Crystal Silver Fine GAL,Tint / automotive color,4 L / gal,4,,2200,Active
406,Weber,WPU-8053 Crystal Silver Coarse GAL,Tint / automotive color,4 L / gal,4,,2200,Active
407,Weber,WPU-810 Metallic Coarse Irid GAL,Tint / automotive color,4 L / gal,4,,2800,Active
408,Weber,WPU-820 Metallic Hi Sparkle Irid GAL,Tint / automotive color,4 L / gal,4,,2800,Active
409,Weber,WPU-820 Metallic Hi-Sparkle Irid GAL,Tint / automotive color,4 L / gal,4,,2800,Active
410,Weber,WPU-901 Mica Pearl Luster White GAL,Tint / automotive color,4 L / gal,4,,2800,Active
411,Weber,WPU-932 Hi-Sparkle Mica Gold GAL,Tint / automotive color,4 L / gal,4,,2800,Active
412,Weber,WU-001 2K Clearcoat LT,Enamel / lacquer / primer,1 L,1,,450,Active
413,Weber,WU-002 Mirror Finish 2K Clearcoat LT,Enamel / lacquer / primer,1 L,1,,450,Active
414,Yakoo,YAKOO 328 Beige Putty w/ Hardener GAL,Solvent / hardener,4 L / gal,4,,650,Active
415,Yakoo,YAKOO 328 Beige Putty w/ Hardener LT,Solvent / hardener,1 L,1,,180,Active
416,Yakoo,YAKOO 380 Putty w/ Hardener GAL,Solvent / hardener,4 L / gal,4,,650,Active
417,Yakoo,YAKOO 380 Putty w/ Hardener LT,Solvent / hardener,1 L,1,,180,Active
418,Yester,Yester SP #100 (copy),Accessory / tool,piece / assorted,,,15,Active
419,N/A,1/2 CAN,Paint / assorted,0.5 L can,0.5,,100,Active
420,N/A,1/4 CAN,Paint / assorted,0.25 L can,0.25,,50,Active
421,N/A,1L CAN,Paint / assorted,1 L can,1,,200,Active
422,N/A,GLASURIT GH-B Hardener Only Big TUBE,Solvent / hardener,big tube,0.2,,40,Active
423,N/A,NP Newspaper 1/2 KG,Accessory / tool,0.5 kg,,0.5,30,Active
424,N/A,NP Newspaper 1KG,Accessory / tool,1 kg,,1,50,Active
425,N/A,PLC Fiber Optic Spliter,Accessory / tool,piece / assorted,,,100,Active
426,N/A,RGC Rug Colored 1 KG,Accessory / tool,1 kg,,1,70,Active
427,N/A,RGC Rug Colored 1/2 KG,Accessory / tool,0.5 kg,,0.5,40,Active
428,N/A,RGW Rug White 1 KG,Accessory / tool,1 kg,,1,70,Active
429,N/A,RGW Rug White 1/2 KG,Accessory / tool,0.5 kg,,0.5,40,Active
